SMILES,Validity,SA Score
CCCCC/C=C\\CCCC(C(OC(=O)CCCCN(C)C)CCC/C=C\\CCCCC)CCC/C=C\\CCCCC,True,3.5909864618910072
CCCCCCCCCCCCCC(=O)OCC(COCCOCCOC)OC(=O)CCCCCCCCCCCCC,True,3.0318681903740874
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,True,4.115343032433691
CC[C@H](C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,True,4.115343032433691
CCCCC/C=C\\C/C=C\\CCCCCCCCC(OC(=O)CCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.0884153598634345
CCCCC/C=C\\C/C=C\\CCCCCCCCC(OC(=O)CCCCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.1189476679474275
CCCCC/C=C\\C/C=C\\CCCCCCCCC(CN(CCN=C(N)N)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.3076664349039984
CCCCC/C=C\\C/C=C\\CCCCCCCCC(N)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,2.695968520924712
CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OC(C(O1)CN(C)C)CN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,4.0550592322548304
CCCCC/C=C\\C/C=C\\CCCCCCCCOCC(CN1CCOCC1)OCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.646025815429798
CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OC(CO1)CCCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.810799183556279
CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OCC(CO1)CN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.3407830664335485
CCCCC/C=C\\C/C=C\\CCCCCCCCOC(CN(C)C)C(=O)OCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.606371824476059
CCCCC/C=C\\C/C=C\\CCCCCCCCC(OC(=O)CCC[N+](C)(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.2396985967875764
CCCCCCCCC(=O)N(C(CCCCCCCC/C=C\\C/C=C\\CCCCC)CCCCCCCC/C=C\\C/C=C\\CCCCC)CCCN(C)C,True,3.2612594832052046
CCCCC/C=C\\C/C=C\\CCCCCCCCC(NCCCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.002824376402627
CCCCC/C=C/C/C=C/CCCCCCCCC(OCCCCN(C)C)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.0375659041286545
CCCCC/C=C/C/C=C/CCCCCCCCC(OCCCN(C)C)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.015001419671858
CCCCCCCCCCCCCCCC(=O)CCCCCCCC/C=C/CCCCCCCC(=O)C(C[N+](C)(C)C)O[PH-],True,3.6540444818806073
CCCCCCCCCCCCCCCCCC(=O)NN(CC(=O)NCCCNCCCCNCCCNC(=O)O)NC(=O)CCCCCCCCCCCCCCCCC,True,3.1718899703107075
